Store,Dept,Date,Weekly_Sales,IsHoliday_x,Type,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday_y,Month,Week,Year,IsHoliday
18,22,2010-03-26,14391.09,False,B,120653,47.55,2.831,,,,,,131.863129,9.202,False,3,12,2010,0
31,74,2012-09-14,11250.46,False,A,203750,76.1,3.717,11871.81,11.76,112.13,1166.35,6254.74,222.2174395,6.565,False,9,37,2012,0
13,29,2011-04-15,4232.54,False,A,219622,41.72,3.616,,,,,,128.9107333,7.193,False,4,15,2011,0
39,40,2010-12-03,55442.62,False,A,184109,53.55,2.708,,,,,,210.376263,8.476,False,12,48,2010,0
33,90,2010-04-09,30293.31,False,A,39690,68.43,3.004,,,,,,126.6019032,9.849,False,4,14,2010,0
15,36,2011-08-12,162.96,False,B,123737,70.63,3.995,,,,,,136.144129,7.806,False,8,32,2011,0
7,4,2012-07-06,22442.33,False,B,70713,64.67,3.646,2779.97,326.2,5.07,2112.68,1548.33,197.8322195,7.872,False,7,27,2012,0
4,19,2012-07-20,1734.02,False,A,205863,79.14,3.263,4799.23,47.55,30.56,634.78,4648.91,130.7012903,4.077,False,7,29,2012,0
28,42,2010-08-27,5711.03,False,A,206302,93.19,3.129,,,,,,126.0892903,14.18,False,8,34,2010,0
12,36,2011-03-04,802.5,False,B,112238,51.72,3.674,,,,,,128.26475,14.021,False,3,9,2011,0
45,79,2011-08-19,13689.64,False,B,118221,72.98,3.747,,,,,,186.5093071,8.625,False,8,33,2011,0
4,79,2012-01-27,50912.17,False,A,205863,40.31,3.29,1346.06,3740.12,46.16,445.47,2451.89,130.3144516,4.607,False,1,4,2012,0
43,38,2011-05-13,63496.58,False,C,41062,76.03,3.899,,,,,,207.7281429,10.581,False,5,19,2011,0
32,55,2010-11-26,37008.51,True,A,203007,29.97,2.742,,,,,,191.0121805,9.137,True,11,47,2010,1
28,5,2011-01-28,27247.94,False,A,206302,50.74,3.342,,,,,,127.5800323,14.021,False,1,4,2011,0
2,13,2012-04-20,46514.01,False,A,202307,65.69,3.877,7311.02,2236.2,33.53,878.07,4080.32,221.2021074,6.891,False,4,16,2012,0
34,27,2011-05-13,597.09,False,A,158114,63.05,3.872,,,,,,129.089,10.581,False,5,19,2011,0
14,3,2012-03-30,12753.99,False,A,200898,50.04,3.953,11267.8,185.8,8.84,1152.46,2509.18,190.6107463,8.424,False,3,13,2012,0
42,1,2011-10-21,10826.88,False,C,39690,77.91,3.842,,,,,,129.7821613,7.874,False,10,42,2011,0
26,12,2011-03-11,3205.33,False,A,152513,28.13,3.6,,,,,,133.7361429,7.907,False,3,10,2011,0
22,79,2012-10-12,15715.89,False,B,119557,54.18,4.029,1558.08,,10.35,485.2,4291.26,142.9376167,7.543,False,10,41,2012,0
43,83,2010-09-17,5622.14,False,C,41062,78.86,2.582,,,,,,203.4499286,9.816,False,9,37,2010,0
31,93,2011-03-04,54642.76,False,A,203750,59.52,3.288,,,,,,213.4775305,8.028,False,3,9,2011,0
24,87,2011-05-13,22182.36,False,A,203819,58.49,4.211,,,,,,134.593,8.212,False,5,19,2011,0
38,2,2012-06-29,11475.01,False,C,39690,90.47,3.875,350.56,,,26.87,1447.29,130.7562667,11.627,False,6,26,2012,0
45,30,2012-09-14,2815.04,False,B,118221,67.87,3.948,11407.95,,4.3,3421.72,5268.92,191.69985,8.684,False,9,37,2012,0
7,20,2011-03-25,2508.03,False,B,70713,25.69,3.414,,,,,,192.1964844,8.818,False,3,12,2011,0
8,40,2011-09-16,36720.77,False,A,155078,69.09,3.526,,,,,,219.4442443,6.425,False,9,37,2011,0
39,16,2010-12-31,5365.71,True,A,184109,52.45,2.943,,,,,,210.182398,8.476,True,12,52,2010,1
35,31,2012-01-27,3002.56,False,B,103681,36.96,3.567,2798.44,2928.52,1.46,446.0,9008.25,140.9124021,8.744,False,1,4,2012,0
43,96,2012-06-08,26893.13,False,C,41062,85.73,3.452,446.4,,3.96,,1732.71,213.1702811,9.575,False,6,23,2012,0
45,83,2010-08-27,1018.16,False,B,118221,71.36,2.755,,,,,,182.6104063,8.743,False,8,34,2010,0
37,28,2012-08-17,84.91,False,C,39910,85.89,3.571,170.08,,13.16,,792.21,220.7199609,6.623,False,8,33,2012,0
36,16,2010-05-21,772.73,False,A,39910,77.34,2.767,,,,,,209.3922937,8.464,False,5,20,2010,0
19,27,2011-07-08,1117.9,False,A,203819,73.2,3.886,,,,,,135.6283333,7.806,False,7,27,2011,0
13,48,2010-10-15,756.0,False,A,219622,54.12,2.845,,,,,,126.3266774,7.795,False,10,41,2010,0
6,28,2011-02-11,644.05,True,A,202505,39.38,3.022,,,,,,214.4630941,6.858,True,2,6,2011,1
42,21,2010-07-23,1326.86,False,C,39690,88.44,3.112,,,,,,126.1283548,9.199,False,7,29,2010,0
26,82,2011-04-29,10651.88,False,A,152513,47.17,3.988,,,,,,134.4357333,7.818,False,4,17,2011,0
3,24,2012-08-17,5329.17,False,B,37392,87.36,3.571,990.08,44.2,,401.46,430.69,225.5558664,6.334,False,8,33,2012,0
31,27,2011-02-18,1511.97,False,A,203750,59.87,3.045,,,,,,212.9033115,8.028,False,2,7,2011,0
24,46,2010-07-16,16263.13,False,A,203819,76.56,2.933,,,,,,132.5667742,8.117,False,7,28,2010,0
41,17,2012-01-13,10323.45,False,A,196321,27.49,3.077,1934.8,14627.46,112.2,542.89,4044.44,196.7330517,6.589,False,1,2,2012,0
32,35,2011-10-21,2409.14,False,A,203007,48.87,3.548,,,,,,195.1789994,8.513,False,10,42,2011,0
34,96,2011-12-30,27612.49,True,A,158114,28.84,3.119,3312.59,21909.93,210.22,146.1,3299.3,130.0710323,10.148,True,12,52,2011,1
1,38,2010-08-06,93809.75,False,A,151315,87.16,2.627,,,,,,211.5046621,7.787,False,8,31,2010,0
7,55,2012-10-19,3803.58,False,B,70713,43.01,3.75,2034.63,,0.5,298.55,4163.41,199.1481963,7.557,False,10,42,2012,0
31,14,2010-11-05,15568.01,False,A,203750,58.71,2.689,,,,,,211.6135053,8.163,False,11,44,2010,0
24,49,2011-03-18,6277.06,False,A,203819,43.39,3.796,,,,,,133.8492258,8.252,False,3,11,2011,0
18,32,2012-06-01,7988.56,False,B,120653,71.42,3.798,13525.26,1.2,36.26,1889.92,1629.62,138.1138065,8.304,False,6,22,2012,0
3,9,2010-05-21,6127.31,False,B,37392,75.81,2.826,,,,,,213.9116886,7.343,False,5,20,2010,0
10,67,2010-05-07,29012.95,False,B,126512,71.06,3.127,,,,,,126.2898,9.524,False,5,18,2010,0
28,81,2011-12-23,20829.17,False,A,206302,45.4,3.541,2135.31,1.53,752.34,499.0,5674.11,129.9845484,12.89,False,12,51,2011,0
4,19,2011-08-12,2720.51,False,A,205863,82.98,3.617,,,,,,129.2015806,5.644,False,8,32,2011,0
5,32,2012-10-05,3047.58,False,B,34875,71.17,3.617,2048.94,,6.02,1121.58,2070.87,223.7744444,5.422,False,10,40,2012,0
32,97,2012-02-17,15952.32,False,A,203007,24.26,3.113,9434.94,12371.88,39.2,5880.54,7373.13,196.9432711,8.256,False,2,7,2012,0
34,32,2011-05-27,3679.26,False,A,158114,65.99,3.771,,,,,,129.0623548,10.581,False,5,21,2011,0
8,83,2011-06-24,2188.02,False,A,155078,83.94,3.594,,,,,,218.4979481,6.297,False,6,25,2011,0
20,8,2012-10-19,80737.08,False,A,203742,56.26,3.969,4174.31,,15.84,838.05,3838.56,216.1464699,7.293,False,10,42,2012,0
29,18,2012-05-25,0.97,False,B,93638,62.39,3.85,7467.41,,290.33,309.68,2750.24,138.1101935,9.14,False,5,21,2012,0
19,9,2012-02-03,15474.79,False,A,203819,36.22,3.796,51879.66,6433.83,394.18,52739.02,6473.61,137.0632581,7.943,False,2,5,2012,0
3,72,2010-05-21,14531.14,False,B,37392,75.81,2.826,,,,,,213.9116886,7.343,False,5,20,2010,0
20,20,2011-11-11,6232.42,False,A,203742,47.27,3.53,34348.14,11652.84,549.25,9606.11,5472.37,210.9810201,7.082,False,11,45,2011,0
13,52,2010-04-30,4428.53,False,A,219622,48.33,2.941,,,,,,126.3805667,8.107,False,4,17,2010,0
2,25,2011-07-08,14355.06,False,A,202307,87.7,3.48,,,,,,214.9296249,7.852,False,7,27,2011,0
35,82,2012-05-18,10493.11,False,B,103681,65.15,3.848,8475.44,,2.87,2133.81,2904.46,142.0970115,8.876,False,5,20,2012,0
10,49,2010-05-28,22647.63,False,B,126512,76.67,3.058,,,,,,126.1602258,9.524,False,5,21,2010,0
2,29,2011-04-01,6076.14,False,A,202307,55.43,3.524,,,,,,214.4886908,7.931,False,4,13,2011,0
7,97,2010-07-09,3017.04,False,B,70713,58.0,2.711,,,,,,189.5231276,9.017,False,7,27,2010,0
18,52,2011-02-18,3251.99,False,B,120653,31.59,3.263,,,,,,133.3701429,9.131,False,2,7,2011,0
21,17,2010-02-26,10370.57,False,B,140167,45.31,2.561,,,,,,210.9759573,8.324,False,2,8,2010,0
13,52,2010-05-21,4680.84,False,A,219622,57.71,2.95,,,,,,126.1843871,8.107,False,5,20,2010,0
22,49,2010-08-13,-4.97,False,B,119557,74.75,2.81,,,,,,136.4928214,8.433,False,8,32,2010,0
44,6,2010-04-09,25.29,False,C,39910,38.97,2.877,,,,,,126.6019032,7.972,False,4,14,2010,0
2,10,2012-09-28,37104.67,False,A,202307,79.45,3.666,7106.05,1.91,1.65,1549.1,3946.03,222.6164329,6.565,False,9,39,2012,0
12,16,2012-01-27,2628.05,False,B,112238,50.43,3.675,1201.31,631.79,,104.69,1050.85,130.3144516,12.187,False,1,4,2012,0
22,92,2010-07-16,40746.43,False,B,119557,76.3,2.796,,,,,,136.4179827,8.433,False,7,28,2010,0
12,55,2012-03-02,15763.8,False,B,112238,52.27,4.178,15046.69,2131.62,12.84,4574.95,3428.27,130.6457931,12.187,False,3,9,2012,0
4,94,2011-11-11,63555.46,False,A,205863,47.12,3.286,12851.52,16658.47,430.13,5630.01,9213.39,129.8167097,5.143,False,11,45,2011,0
11,79,2010-07-09,32220.15,False,A,207499,83.01,2.642,,,,,,214.4265704,7.346,False,7,27,2010,0
12,93,2011-10-21,551.78,False,B,112238,73.05,3.842,,,,,,129.7821613,12.89,False,10,42,2011,0
16,41,2011-01-21,1687.84,False,B,57197,28.6,2.973,,,,,,191.5731924,6.614,False,1,3,2011,0
31,40,2010-02-12,58870.0,True,A,203750,37.77,2.548,,,,,,210.8979935,8.324,True,2,6,2010,1
23,41,2010-07-23,1508.0,False,B,114533,70.2,2.784,,,,,,132.5825806,5.326,False,7,29,2010,0
33,93,2012-07-27,16426.34,False,A,39690,93.95,3.769,24.71,,,,1205.27,130.7195806,7.147,False,7,30,2012,0
17,28,2010-06-04,1396.14,False,B,93188,53.79,2.871,,,,,,126.1360645,6.635,False,6,22,2010,0
5,60,2010-12-03,308.0,False,B,34875,51.31,2.708,,,,,,212.1613951,6.768,False,12,48,2010,0
24,91,2012-04-20,47880.39,False,A,203819,61.05,4.17,10959.96,3425.69,79.48,1682.87,4506.82,137.9230667,8.983,False,4,16,2012,0
22,12,2011-09-16,3224.95,False,B,119557,68.08,3.809,,,,,,140.2735,8.023,False,9,37,2011,0
18,24,2011-04-22,9027.83,False,B,120653,45.99,3.919,,,,,,134.3571,8.975,False,4,16,2011,0
35,91,2010-05-07,13261.28,False,B,103681,69.02,2.966,,,,,,135.962,9.051,False,5,18,2010,0
20,52,2012-06-08,2973.09,False,A,203742,62.01,3.689,8353.32,516.6,46.76,2073.77,7774.31,214.5527132,7.139,False,6,23,2012,0
14,74,2010-10-08,25376.36,False,A,200898,56.49,2.764,,,,,,182.7640032,8.724,False,10,40,2010,0
9,13,2012-01-13,19408.38,False,B,125833,42.44,3.261,4731.1,2959.36,,129.27,3416.48,223.6168049,5.667,False,1,2,2012,0
8,21,2012-01-06,4051.67,False,A,155078,43.47,3.157,3093.39,26001.46,96.35,500.91,4468.63,223.2409668,5.825,False,1,1,2012,0
45,52,2012-05-25,1519.92,False,B,118221,67.21,3.798,5370.39,,361.22,1287.62,2461.81,191.0028096,8.567,False,5,21,2012,0
18,91,2011-06-17,6496.3,False,B,120653,63.23,3.873,,,,,,135.0837333,8.975,False,6,24,2011,0
34,40,2010-04-16,37304.71,False,A,158114,59.18,2.81,,,,,,126.5621,9.593,False,4,15,2010,0
17,83,2010-06-11,535.1,False,B,93188,57.14,2.841,,,,,,126.1119032,6.635,False,6,23,2010,0
35,81,2011-09-30,5369.25,False,B,103681,70.92,3.645,,,,,,140.381,8.684,False,9,39,2011,0
25,9,2011-04-01,10406.4,False,B,128107,28.5,3.638,,,,,,207.8823043,7.287,False,4,13,2011,0
24,59,2010-03-05,607.78,False,A,203819,36.73,2.919,,,,,,131.735,8.326,False,3,9,2010,0
11,10,2011-01-14,19555.78,False,A,207499,45.34,2.983,,,,,,214.7470729,7.551,False,1,2,2011,0
17,71,2011-09-16,5320.06,False,B,93188,61.48,3.641,,,,,,129.4306,6.745,False,9,37,2011,0
41,25,2012-05-18,8622.04,False,A,196321,55.24,3.837,6415.86,,179.28,998.25,2976.99,197.5553137,6.547,False,5,20,2012,0
41,17,2011-09-16,11325.61,False,A,196321,54.82,3.596,,,,,,194.7419707,6.901,False,9,37,2011,0
25,94,2012-05-25,5686.7,False,B,128107,67.69,3.798,5154.82,,391.45,1581.91,2164.96,214.5499425,7.139,False,5,21,2012,0
1,1,2012-06-15,17558.82,False,A,151315,79.35,3.393,5621.99,109.6,0.25,2420.28,3083.26,221.7626421,7.143,False,6,24,2012,0
19,92,2010-12-17,129070.04,False,A,203819,26.83,3.301,,,,,,132.6804516,8.067,False,12,50,2010,0
27,46,2010-02-19,36708.48,False,A,204184,32.44,2.909,,,,,,135.4657781,8.237,False,2,7,2010,0
20,50,2010-07-30,3939.87,False,A,203742,76.03,2.781,,,,,,204.605272,7.527,False,7,30,2010,0
27,37,2011-11-04,3056.86,False,A,204184,44.46,3.738,,,,,,140.4279758,7.906,False,11,44,2011,0
15,25,2012-01-20,7746.24,False,B,123737,21.39,3.705,2637.43,3151.32,,265.47,2257.53,136.8564194,7.943,False,1,3,2012,0
13,36,2012-05-25,2966.0,False,A,219622,62.39,3.801,7282.07,,416.15,1048.83,7293.87,131.0287742,5.965,False,5,21,2012,0
25,44,2011-12-30,3007.86,True,B,128107,32.42,3.389,4624.26,49913.53,177.05,407.17,2515.09,212.4035763,7.082,True,12,52,2011,1
3,74,2011-04-29,3341.87,False,B,37392,78.69,3.81,,,,,,219.0236099,7.574,False,4,17,2011,0
24,35,2011-10-28,2657.87,False,A,203819,48.0,3.757,,,,,,136.4884516,8.454,False,10,43,2011,0
20,40,2010-04-16,82733.14,False,A,203742,55.43,2.899,,,,,,203.7307486,7.856,False,4,15,2010,0
8,81,2010-12-10,12511.37,False,A,155078,42.47,2.843,,,,,,214.8155214,6.433,False,12,49,2010,0
16,26,2010-07-16,1275.52,False,B,57197,67.68,2.699,,,,,,189.6125456,6.868,False,7,28,2010,0
38,81,2011-07-01,10693.28,False,C,39690,89.85,3.842,,,,,,129.0894,13.503,False,7,26,2011,0
19,20,2012-03-23,5535.51,False,A,203819,56.72,4.054,6048.55,170.78,1.02,986.74,2684.83,137.6552903,7.943,False,3,12,2012,0
31,17,2012-07-27,6442.25,False,A,203750,88.09,3.407,6694.25,35.94,7.2,8201.22,11721.11,221.5785461,6.565,False,7,30,2012,0
35,17,2012-03-30,12921.96,False,B,103681,49.4,3.953,19560.85,77.41,7.4,4081.77,3629.96,141.6990864,8.744,False,3,13,2012,0
7,21,2012-02-10,1422.36,True,B,70713,18.79,3.103,13100.37,3096.6,1.73,4854.7,6266.04,196.9195056,8.256,True,2,6,2012,1
7,80,2012-03-09,550.42,False,B,70713,30.1,3.286,12144.9,1178.96,2.18,996.02,2221.16,196.9631599,8.256,False,3,10,2012,0
13,10,2012-09-28,29102.64,False,A,219622,64.8,3.821,5197.64,63.1,2.6,3022.73,9779.77,131.043,5.765,False,9,39,2012,0
7,83,2012-06-15,687.0,False,B,70713,59.33,3.723,16717.38,119.4,0.65,677.29,1144.07,197.692292,8.09,False,6,24,2012,0
8,6,2012-08-24,2145.52,False,A,155078,73.77,3.62,3822.14,6.4,4.2,763.09,3570.91,225.7418442,5.401,False,8,34,2012,0
20,24,2010-04-16,6669.97,False,A,203742,55.43,2.899,,,,,,203.7307486,7.856,False,4,15,2010,0
25,10,2011-02-25,13769.77,False,B,128107,28.36,3.274,,,,,,206.6424093,7.343,False,2,8,2011,0
39,93,2012-01-13,42267.02,False,A,184109,54.66,3.261,7924.93,13698.33,83.04,477.43,10488.23,218.5823389,7.244,False,1,2,2012,0
23,5,2011-03-11,35853.74,False,B,114533,29.36,3.6,,,,,,133.7361429,5.114,False,3,10,2011,0
20,4,2010-09-24,47268.03,False,A,203742,69.37,2.713,,,,,,204.8182126,7.527,False,9,38,2010,0
34,60,2012-07-27,54.0,False,A,158114,77.3,3.356,3124.08,92.22,0.36,1720.84,3878.36,130.7195806,9.285,False,7,30,2012,0
34,97,2010-11-12,17995.36,False,A,158114,47.2,2.741,,,,,,126.5461613,10.21,False,11,45,2010,0
31,79,2012-01-06,45757.07,False,A,203750,48.1,3.157,6105.78,25953.41,91.69,1254.6,6256.02,219.355063,7.057,False,1,1,2012,0
27,29,2011-02-11,7973.56,True,A,204184,30.45,3.416,,,,,,137.1378318,7.827,True,2,6,2011,1
10,40,2011-01-21,101904.95,False,B,126512,56.75,3.336,,,,,,127.4404839,8.744,False,1,3,2011,0
2,34,2012-02-03,16286.18,False,A,202307,55.21,3.36,75149.79,3818.85,221.4,48159.86,7423.61,219.8118854,7.057,False,2,5,2012,0
38,40,2012-10-05,17796.16,False,C,39690,81.61,3.966,266.02,,6.0,,1830.67,131.0756667,10.199,False,10,40,2012,0
23,41,2011-02-04,560.0,False,B,114533,14.5,3.24,,,,,,133.1834194,5.114,False,2,5,2011,0
4,14,2010-06-18,23459.13,False,A,205863,81.53,2.635,,,,,,126.114,7.896,False,6,24,2010,0
5,35,2010-09-10,1192.0,True,B,34875,79.86,2.565,,,,,,212.0499271,6.496,True,9,36,2010,1
28,29,2011-12-09,7932.78,False,A,206302,42.17,3.644,6628.73,21.0,140.19,6168.78,14073.59,129.8555333,12.89,False,12,49,2011,0
4,93,2012-04-27,67555.59,False,A,205863,76.47,3.81,3993.66,97.77,26.68,113.37,3947.45,131.1266667,4.308,False,4,17,2012,0
38,82,2012-08-03,6400.61,False,C,39690,88.16,3.76,525.42,,16.93,49.05,1689.86,130.737871,10.926,False,8,31,2012,0
7,4,2010-02-19,12230.31,False,B,70713,27.28,2.55,,,,,,189.5340998,9.014,False,2,7,2010,0
39,17,2010-10-08,11301.93,False,A,184109,64.8,2.633,,,,,,210.5144398,8.476,False,10,40,2010,0
35,74,2011-12-30,18620.61,True,B,103681,37.85,3.389,6742.63,34766.99,163.27,961.0,2074.13,140.5874505,8.745,True,12,52,2011,1
6,49,2012-09-07,9218.45,True,A,202505,86.33,3.73,14105.12,47.96,24.6,3040.62,3558.18,224.0560076,5.668,True,9,36,2012,1
21,4,2011-12-30,18275.44,True,B,140167,45.16,3.129,2880.59,32642.96,124.32,419.61,3010.84,219.1773063,7.441,True,12,52,2011,1
6,24,2011-07-15,5017.49,False,A,202505,88.93,3.575,,,,,,216.9044732,6.925,False,7,28,2011,0
42,5,2012-04-27,615.67,False,C,39690,80.11,4.088,685.44,,12.09,,512.76,131.1266667,7.382,False,4,17,2012,0
28,9,2011-08-05,19755.84,False,A,206302,90.61,3.803,,,,,,129.1846452,13.503,False,8,31,2011,0
1,6,2011-10-07,4733.74,False,A,151315,69.31,3.285,,,,,,217.0453684,7.866,False,10,40,2011,0
23,6,2011-09-16,4733.72,False,B,114533,60.52,3.809,,,,,,136.3145,4.584,False,9,37,2011,0
32,12,2010-04-16,3243.02,False,A,203007,53.49,2.765,,,,,,189.6628845,8.963,False,4,15,2010,0
14,1,2010-06-18,21364.48,False,A,200898,72.62,2.78,,,,,,182.4424199,8.899,False,6,24,2010,0
45,87,2010-03-12,5459.52,False,B,118221,45.8,2.818,,,,,,182.1628441,8.992,False,3,10,2010,0
29,3,2011-03-25,5863.52,False,B,93638,38.77,3.624,,,,,,133.9587419,10.256,False,3,12,2011,0
30,8,2012-08-10,11170.9,False,C,42988,89.57,3.494,971.97,,1.03,52.96,2168.04,221.5954138,6.565,False,8,32,2012,0
9,52,2011-01-07,1462.38,False,B,125833,41.82,2.976,,,,,,214.9234729,6.416,False,1,1,2011,0
40,33,2012-06-08,2489.63,False,A,155083,55.78,3.746,7338.72,324.8,44.64,2067.65,7482.97,138.1174194,4.125,False,6,23,2012,0
19,18,2011-10-07,10690.43,False,A,203819,53.1,3.775,,,,,,136.472,7.866,False,10,40,2011,0
7,92,2011-11-18,28838.95,False,B,70713,29.53,3.479,3221.47,1229.96,7.35,494.15,3947.57,195.7184713,8.513,False,11,46,2011,0
5,8,2010-10-08,13840.35,False,B,34875,64.99,2.633,,,,,,212.3019522,6.768,False,10,40,2010,0
41,83,2012-05-04,3742.03,False,A,196321,52.86,3.903,10188.76,,308.08,5903.45,2996.97,197.6063534,6.547,False,5,18,2012,0
1,87,2012-01-27,45365.88,False,A,151315,54.26,3.29,1164.46,1082.74,44.0,11.0,1222.19,220.0788523,7.348,False,1,4,2012,0
21,33,2010-10-29,8391.02,False,B,140167,67.51,2.716,,,,,,211.5661131,8.163,False,10,43,2010,0
12,90,2010-02-19,8598.44,False,B,112238,54.83,2.915,,,,,,126.5262857,13.975,False,2,7,2010,0
21,12,2012-01-06,1861.93,False,B,140167,48.1,3.157,2211.62,28369.34,7.74,753.62,3371.85,219.355063,7.057,False,1,1,2012,0
1,96,2010-10-08,25795.25,False,A,151315,63.93,2.633,,,,,,211.7467544,7.838,False,10,40,2010,0
21,10,2011-07-15,19556.9,False,B,140167,91.05,3.575,,,,,,215.0134426,7.852,False,7,28,2011,0
5,92,2011-05-13,6671.51,False,B,34875,77.38,3.899,,,,,,216.5343611,6.489,False,5,19,2011,0
16,42,2010-08-13,3718.17,False,B,57197,63.91,2.723,,,,,,190.2611552,6.868,False,8,32,2010,0
9,72,2012-10-19,29913.68,False,B,125833,68.01,3.594,545.72,,8.0,28.94,3098.87,227.214288,4.954,False,10,42,2012,0
19,94,2012-06-22,41597.55,False,A,203819,75.83,3.722,10418.79,1232.8,0.51,2971.07,12187.35,138.1629,8.15,False,6,25,2012,0
8,91,2011-06-24,27805.14,False,A,155078,83.94,3.594,,,,,,218.4979481,6.297,False,6,25,2011,0
20,8,2010-04-30,71881.19,False,A,203742,54.75,2.921,,,,,,203.6503685,7.856,False,4,17,2010,0
2,18,2010-11-05,17527.96,False,A,202307,57.85,2.689,,,,,,211.6135053,8.163,False,11,44,2010,0
16,21,2012-02-03,3067.14,False,B,57197,25.53,3.031,32702.46,747.82,2.39,8063.07,2940.68,196.8728921,6.162,False,2,5,2012,0
